NOMBRE,GARMINCODE,GIROTIPO,TELEFONO,NOMBRE_VIA,CUADRA,URBANIZACI,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMEN,PAIS,LONGITUDE,LATITUDE
Clinica Bellavista,0x3002,hospital,(01) 451-3454,CA GAVIOTAS,2,UB SAN JOSE,GAVIOTAS 207,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.096642,-12.057644
Centro Medico Naval,0x3002,hospital,613-7600 / 613-7800,AV VENEZUELA,51,,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.090193,-12.061596
Hospital Daniel Alcides Carrion,0x3002,hospital,614-7474,AV GUARDIA CHALACA,21,UB SEÑOR DE LOS MILAGROS,GUARDIA CHALACA 2176,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.122928,-12.062943
Policlinico Essalud del Callao,0x3002,hospital,429-1587 / 429-7744 / 411-8000,AV GUARDIA CHALACA,22,UB SEÑOR DE LOS MILAGROS,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.122256,-12.0634
Hospital Regional Alberto Sabogal,0x3002,hospital,429-0728,AV GUARDIA CHALACA,22,UB SEÑOR DE LOS MILAGROS,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.121315,-12.064124
Municipalidad de Bellavista,0x3003,public office,429-3085 / 429-1697,JR FRANCISCO BOLOGNESI,4,,FRANCISCO BOLOGNESI 498,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.129205,-12.062428
Municipalidad del Callao,0x3003,public office,,JR SUPE,5,UV SANTA MARINA SUR,SUPE CDRA. 5 URB. SANTA MARINA SUR,CALLAO,CALLAO,CALLAO,PERU,-77.128534,-12.05404
Municipalidad de Carmen de la Legua,0x3003,public office,452-3897,AV 1 DE MAYO,8,,1 DE MAYO 898,CARMEN DE LA LEGUA REYNOSO,CALLAO,CALLAO,PERU,-77.090145,-12.039683
Ex-Municipalidad de La Perla,0x3003,public office,429 -7341,JR TUPAC AMARU,9,UB LA PERLA,TUPAC AMARU 938,LA PERLA,CALLAO,CALLAO,PERU,-77.124661,-12.068352
Comisaria 04  (Callao),0x3001,policia,469-0205 / 9735-8234,JR BRASIL,6,UB BELLAVISTA LA PERLA,BRASIL 664,LA PERLA,CALLAO,CALLAO,PERU,-77.125914,-12.07025
Policinico Luis Negreiros Vega ESSALUD,0x3002,hospital,574-7024 / 574-2228 / 411-8000,AV TOMAS VALLE,36,UB CIUDAD SATELITE SANTA ROSA,,CALLAO,CALLAO,CALLAO,PERU,-77.097628,-12.01564
Comisaria,0x3001,policia,,AV TOMAS VALLE,34,UB VIPOL,LOS HELIOTROPOS ALT. CDRA. 34 TOMAS VALLE,CALLAO,CALLAO,CALLAO,PERU,-77.096373,-12.014349
Comisaria Ramon Castilla,0x3001,policia,453-7595 / 453-7418 / 453-4801,JR TALARA,,UB MARISCAL RAMON CASTILLA,TALARA CDRA. 2 URB. RAMON CASTILLA,CALLAO,CALLAO,CALLAO,PERU,-77.124024,-12.043946
Comisaria Bellavista,0x3001,policia,429-7224 / 469-1909,AV GUARDIA CHALACA,18,UB SE?OR DE LOS MILAGROS,GUARDIA CHALACA CDRA. 18,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.125278,-12.061228
Comisaria Dulanto,0x3001,policia,562-0934,JR TARMA,,UB MANUEL DULANTO,MZ.Q HUANCAYO Y TARMA,CALLAO,CALLAO,CALLAO,PERU,-77.10463,-12.043822
Comisaria Aereopuerto,0x3001,policia,575-4696,AEROPUERTO JORGE CHAVEZ,,,ELMER FAUCETT 3900,CALLAO,CALLAO,CALLAO,PERU,-77.108261,-12.022868
Comisaria La Legua,0x3001,policia,562-1062 / 562-1065 / 562-1097,CA MANUEL VIDAURRE,1,UB LA COLONIAL,MANUEL VIDAURRE CDRA. 1 URB. LA COLONIAL,CALLAO,CALLAO,CALLAO,PERU,-77.097112,-12.052665
Comisaria Carmen de la Legua,0x3001,policia,562-1044,AV 1 DE MAYO,11,,1 DE MAYO 1108,CARMEN DE LA LEGUA REYNOSO,CALLAO,CALLAO,PERU,-77.087165,-12.039151
Ministerio de la Marina,0x3003,public office,614-2900 anexo: 2329,AV INSURGENTES,,UB GERMAN LUIS ASTETE,LA MARINA CDRA. 36,LA PERLA,CALLAO,CALLAO,PERU,-77.104384,-12.069196
Estadio Telmo Carbajo,0x2c08,estadio,,CA ELIAS AGUIRRE,3,,ESQ. ELIAS AGUIRRE CDRA. 3 Y ESPINAR,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.13065,-12.063834
Instituto Nacional de Rehabilitacion,0x3003,public office,429-9690 / 429-2377 / 429-0611,JR ANDRES VIGIL,5,UB VIGIL,VIGIL 535,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.133384,-12.063357
Region Callao,0x3003,public office,575-5533 / 575-1075 / 484-5100,AV JUAN PABLO II,4,UB CIUDAD DEL PESCADOR ZONA 4,ESQ. VENEZUELA Y GUARDIA CHALACA S/N,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.118375,-12.064834
Mall Aventura Plaza Bellavista,0x2e01,mall,626-6000,AV MARISCAL OSCAR RAUL BENAVIDES,,UB EL AGUILA,OSCAR R. BENAVIDES EX. COLONIAL 3866 URB. EL AGUILA,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.102302,-12.054615
Estadio Miguel Grau,0x2c08,estadio,429-22 97 / 465-17 82,AV OSCAR R BENAVIDES,21,UB SAN ANTONIO,OSCAR R. BENAVIDES EX. COLONIAL CDRA. 22 S/N,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.120981,-12.058512
Universidad Tecnica del Callao,0x2c05,universidad,429-9740 / 429 9748 / 429-9749,AV JUAN PABLO II,3,UB SAN ANTONIO,JUAN PABLO II 306,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.116856,-12.061334
Minka,0x2e01,mall,313 7000 / 313-7040,MINKA,33,,ARGENTINA 3093,CALLAO,CALLAO,CALLAO,PERU,-77.110915,-12.04933
Centro Salud Juan Pablo II,0x3002,hospital,,CALLE B,,AH JUAN PABLO II,CALLE B AH. JUAN PABLO II MZ. A ALT. GAMBETA KM. 2.5,CALLAO,CALLAO,CALLAO,PERU,-77.129133,-12.026344
Centro de Salud Ramon Castilla,0x3002,hospital,,JR CUSCO,,UB MARISCAL RAMON CASTILLA,ESQ. CUZCO Y MIROQUESADA PJ. RAMON CASTILLA,CALLAO,CALLAO,CALLAO,PERU,-77.122306,-12.040875
Posta Medica,0x3002,hospital,,CA MISIONERO ABAD,,UB CIUDAD SATELITE SANTA ROSA,MISIONERO ABAD URB.VIPOL SANTA ROSA,CALLAO,CALLAO,CALLAO,PERU,-77.10139,-12.01347
Posta Medica Policia,0x3003,public office,,AV PEDRO BELTRAN,,,PEDRO BELTRAN CDRA. 4 URB. VENTANILLA SATELITE,VENTANILLA,CALLAO,CALLAO,PERU,-77.122427,-11.871429
Comisaria,0x3001,policia,553-4410,AV PEDRO BELTRAN,,UB CIUDAD SATELITE DE VENTANILLA,PEDRO BELTRAN 136 URB. VENTANILLA SATELITE,VENTANILLA,CALLAO,CALLAO,PERU,-77.126249,-11.873012
Ugel Ventanilla,0x2c05,colegio,539-8511 / 488-1013,CA EUCALIPTOS,3,UB CIUDAD SATELITE,LOS EUCALIPTOS CDRA. 3 S/N URB. VENTANILLA SATELITE,VENTANILLA,CALLAO,CALLAO,PERU,-77.125063,-11.874682
Comisaria Seguridad del Estado,0x3001,policia,,PLAZA GUARDIA CHALACA,,,PLAZA GUARDIA CHALACA,CALLAO,CALLAO,CALLAO,PERU,-77.13345,-12.068624
Comisaria,0x3001,policia,,,,AH CASA HUERTA VIRGEN DE LAS MERCEDES,DEL BIERZO A.H. MARIANO IGNACIO PRADO,VENTANILLA,CALLAO,CALLAO,PERU,-77.118522,-11.942424
Comisaria de Ventanilla,0x3001,policia,553-4410,AV JUPITER,,,PEDRO BELTRAN 136,VENTANILLA,CALLAO,CALLAO,PERU,-77.125765,-11.885081
Comisaria Mi Peru,0x3001,policia,532-3061 / 9735-8243,AV CAJAMARCA,,AH MI PERU GRUPO G,MZ. G CENTRO POBLADO MI PERU,MI PERU,CALLAO,CALLAO,PERU,-77.122377,-11.854219
Comisaria Ciudad del Pescador,0x3001,policia,,CA CALLE 6,,UB CIUDAD DEL PESCADOR,ESQ. LOS INSURGENTES Y CALLE 6D,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.105225,-12.05876
Paradero Angamos,0x2f08,paradero,,AV JUPITER,,AH LOS ALAMOS,JUPITER CARRETERA A VENTANILLA A.H. ANGAMOS,VENTANILLA,CALLAO,CALLAO,PERU,-77.125968,-11.8922
Paradero Susana Higushi,0x2f08,paradero,,CARR VENTANILLA,,AH SUSANA HIGUCHI DE FUJIMORI,JUPITER CARRETERA A VENTANILLA A.H. SUSANA HIGUSHI,VENTANILLA,CALLAO,CALLAO,PERU,-77.126561,-11.89611
Cementerio,0x6403,cementerio,,CARR VENTANILLA,,,CARRETERA A VENTANILLA,VENTANILLA,CALLAO,CALLAO,PERU,-77.127945,-11.903273
Local UNFV,0x2c05,universidad,720-9720,AV NESTOR GAMBETTA,,ASOC LAS PALMERAS DE OQUENDO,NESTOR GAMBETTA KM. 72,CALLAO,CALLAO,CALLAO,PERU,-77.124681,-11.974118
CE Mi peque?o arquitecto,0x2c05,colegio,994758428,AV JUPITER,,AH ANGAMOS 3 ETAPA,A.H. ANGAMOS SECTOR II MZ. K-7 LT. 27,VENTANILLA,CALLAO,CALLAO,PERU,-77.126342,-11.890939
Deposito de Transito,0x3001,policia,,AV LA PAZ,29,UB LEONCIO PRADO,LA PAZ CDRA. 26,LA PERLA,CALLAO,CALLAO,PERU,-77.11046,-12.077116
Colegio Militar Leoncio Prado,0x2c05,colegio,420-4120 / 457-6067,AV COSTANERA,18,UB SAN FERNANDO,COSTANERA 1541,LA PERLA,CALLAO,CALLAO,PERU,-77.118373,-12.075715
Policlinico PNP Callao,0x3002,hospital,530-4644,AV LA PAZ,11,UB LA PERLA,LA PAZ CDRA. 11,LA PERLA,CALLAO,CALLAO,PERU,-77.124382,-12.072233
Colegio Almirante Miguel Grau Seminario,0x2c05,colegio,,AV LA PAZ,10,UB LA PERLA,LA PAZ 1000,LA PERLA,CALLAO,CALLAO,PERU,-77.125015,-12.072098
CE Parroquial,0x2c05,colegio,,AV LA PAZ,8,UB BELLAVISTA LA PERLA,LA PAZ CDRA. 8,LA PERLA,CALLAO,CALLAO,PERU,-77.126587,-12.071115
Seguridad Ciudadana,0x3001,serenazgo,,AV FAUCETT,,,ELMER FAUCETT CDRA. 6,CARMEN DE LA LEGUA REYNOSO,CALLAO,CALLAO,PERU,-77.098548,-12.045039
Hospital San Jose,0x3002,hospital,319-7830,AV ELMER FAUCETT,,,LAS MAGNOLIAS 475,CARMEN DE LA LEGUA REYNOSO,CALLAO,CALLAO,PERU,-77.098693,-12.042956
Monumento La Virgen,0x2f08,paradero,,AV FAUCETT,,,ESQ. ELMER FAUCCET CDRA. 1 Y MORALES DUAREZ,CARMEN DE LA LEGUA REYNOSO,CALLAO,CALLAO,PERU,-77.098957,-12.040172
Pedagogico Especial Maria Madre,0x2c05,instituto,484-1433 / 575-3660,AV JAPON,5,UB CIUDAD SATELITE SANTA ROSA,BERTELLO CDRA. 5 S/N URB. CIUDAD SATELITE,CALLAO,CALLAO,CALLAO,PERU,-77.104672,-12.012212
Gobierno Regional del Callao,0x3003,public office,575-5533 / 575-1075 / 484-5100,AV ELMER FAUCETT,44,,ELMER FAUCETT 3970,CALLAO,CALLAO,CALLAO,PERU,-77.111388,-12.010328
Hostal Dax,0x2b01,hotel,,AV TOMAS VALLE,32,UB COVI - INRESA,TOMAS VALLE CDRA. 32 MZ. A2 URB. COVI - INRESA,CALLAO,CALLAO,CALLAO,PERU,-77.094354,-12.012663
Hostal Chavin,0x2b01,hotel,,AV TOMAS VALLE,31,UB ALBINO HERRERA II,TOMAS VALLE CDRA. 31 MZ. S1 URB. COVI - INRESA,CALLAO,CALLAO,CALLAO,PERU,-77.092971,-12.012104
Colegio Santa Angela Nerici,0x2c05,colegio,,AV LOPEZ PAZOS,8,,,CARMEN DE LA LEGUA REYNOSO,CALLAO,CALLAO,PERU,-77.090541,-12.038916
Centro de Salud Altamar,0x3002,hospital,,JR 2 DE MAYO,6,UB MAGISTERIAL,,LA PERLA,CALLAO,CALLAO,PERU,-77.117976,-12.069576
Centro de Salud Municipal,0x3002,hospital,,JR SUPE,5,UV SANTA MARINA SUR,,CALLAO,CALLAO,CALLAO,PERU,-77.129063,-12.054327
Centro de Salud,0x3002,hospital,,CA CALLE 3,,UB SAN MARTIN DE PORRES,,CALLAO,CALLAO,CALLAO,PERU,-77.121017,-11.996181
Centro de Salud,0x3002,hospital,,AV REGLA,,AH SANTA ROSA - CERRO LA REGLA,,CALLAO,CALLAO,CALLAO,PERU,-77.116695,-11.988872
Centro de Salud,0x3002,hospital,,PJE AVENIDA B,,AH ANGAMOS 1 ETAPA,,VENTANILLA,CALLAO,CALLAO,PERU,-77.1284,-11.8968
Centro de Salud,0x3002,hospital,,,,AH HEROES DEL CENEPA,,VENTANILLA,CALLAO,CALLAO,PERU,-77.12402,-11.896089
Centro de Salud,0x3002,hospital,,CA MATILDE TELLES,,AH ANGAMOS 2 ETAPA,,VENTANILLA,CALLAO,CALLAO,PERU,-77.127639,-11.892633
Centro de Salud,0x3002,hospital,,AV GONZALES GANOZA,,UB ANTONIA MORENO DE CACERES 1 SECTOR,,VENTANILLA,CALLAO,CALLAO,PERU,-77.124432,-11.886428
Centro de Salud,0x3002,hospital,,CA ESCORPION,,UB NAVAL,,VENTANILLA,CALLAO,CALLAO,PERU,-77.127703,-11.885332
Hospital Ventanilla,0x3002,hospital,,AV PEDRO BELTRAN,,UB CIUDAD SATELITE DE VENTANILLA,,VENTANILLA,CALLAO,CALLAO,PERU,-77.125724,-11.872915
Centro de Salud,0x3002,hospital,,CA CALLE 11,,UB CIUDAD SATELITE,,VENTANILLA,CALLAO,CALLAO,PERU,-77.121087,-11.872785
Centro de Salud Ventanilla Alta,0x3002,hospital,,AV PRINCIPAL,,COOP VENTANILLA ALTA,,VENTANILLA,CALLAO,CALLAO,PERU,-77.110106,-11.872369
Wawahuasi,0x3002,hospital,,AV B PRINCIPAL,,COOP VENTANILLA ALTA,,VENTANILLA,CALLAO,CALLAO,PERU,-77.10888,-11.875183
Centro de Salud,0x3002,hospital,,AV HUAURA,,AH MI PERU GRUPO G,,MI PERU,CALLAO,CALLAO,PERU,-77.122894,-11.855123
Aeropuerto Jorge Chavez,0x2f04,airport,517-3100,AEROPUERTO JORGE CHAVEZ,,,ELMER FAUCETT  S/N,CALLAO,CALLAO,CALLAO,PERU,-77.106735,-12.022236
Bomberos 5 Italia,0x3008,bomberos,429-0318,,,UB SAN ANTONIO,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.11745,-12.059298
Posta Medica,0x3002,hospital,,CA CALLE 15,,UB CIUDAD DEL PESCADOR,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.10477,-12.05826
Policia Nacional Division Aerea,0x3001,policia,,AV FAUCETT,,,,CALLAO,CALLAO,CALLAO,PERU,-77.103684,-12.027481
Posta Medica Poligono IV,0x3002,hospital,,CA CALLE M,,AH BOCANEGRA SECTOR 5,,CALLAO,CALLAO,CALLAO,PERU,-77.100943,-12.025037
Posta  Medica,0x3002,hospital,,,,UB LOS JAZMINES 4 ETAPA,,CALLAO,CALLAO,CALLAO,PERU,-77.106324,-12.006118
CE Ricardo Palma,0x2c05,colegio,,CA SALCEDO,2,UB SAN JOSE,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.09106,-12.0552
Nido Rayitos de Sol,0x2c05,colegio,(01) 732-0124,AV SAN JOSE,2,UB SAN JOSE,SAN JOSE 257,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.095379,-12.054538
Colegio Dora Mayer,0x2c05,colegio,,PJE AMERICAS,1,UB SAN JOSE,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.09311,-12.057092
Hogar Jardines Viru,0x3002,albergue,,,,UB JARDINES VIRU,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.099824,-12.059135
